證券代碼,證券名稱,本益比,殖利率,股價淨值比,CAPM_Beta.一年
6161,捷波,8.15,4.74,1.13,0.9188
6163,華電網,19.67,2.03,1.01,1.0471
6167,久正,6.42,0,0.69,1.1045
6169,昱泉,0,0,3.88,1.0758
6170,統振,17.03,5.5,1.23,1.4025
6171,亞銳士,532.5,1.41,1.51,1.2624
6173,信昌電,17.06,3.07,2.35,1.5568
6174,安碁,557.5,0,1.02,0.6792
6175,立敦,22.13,2.54,1.31,1.4575
6179,亞通,30.69,4.84,1.75,0.1093
6180,橘子,11.98,5.02,2.18,0.9944
6182,合晶,19.58,5.5,1.79,1.4725
6185,幃翔,39.42,2.95,1.06,1.3591
6186,新潤,7.6,3.13,1.79,0.8002
6187,萬潤,37.95,3.59,2.03,1.1027
6188,廣明,19.24,5.62,1.26,1.4765
6190,萬泰科,15.33,4.92,1.32,0.7948
6194,育富,14.15,4.57,0.81,0.5701
6195,詩肯,13.82,5.79,1.43,0.9417
6198,凌泰,0,0,2.54,0.193
6199,天品,148.13,1.69,1.02,0.0631
6203,海韻電,11.47,5.89,1.96,1.0614
6203,海韻電,11.47,5.89,1.96,1.0527
6204,艾華,24.38,7.81,0.77,1.0058
6204,艾華,24.38,7.81,0.77,0.6334
6207,雷科,16.18,5.3,1.23,0.9276
6208,日揚,10.83,6.83,1.32,0.8636
6208,日揚,10.83,6.83,1.32,1.0516
6210,慶生,9.52,6.55,2.02,0.9054
6212,理銘,232.75,0,2.22,0.185
6217,中探針,22.66,3.17,1.35,1.58
6218,豪勉,13.73,6.98,1.21,0.4552
6219,富旺,12.77,7.06,1.38,0.4869
6220,岳豐,13.8,10.5,1,1.1347
6221,晉泰,14.13,4.51,2.72,0.8062
6222,上揚,28.6,0,2.02,0.2862
6223,旺矽,13.45,3.47,1.32,1.5391
6227,茂綸,13.21,4.5,1.04,1.1562
6228,全譜,0,0,0.98,0.4455
6229,研通,21.53,4.17,0.98,0.8933
6231,系微,29.66,2.91,3.77,1.4616
6233,旺玖,278.75,0,1.02,1.5756
6234,高僑,11.4,5.26,0.86,1.2212
6236,康呈,0,0,2.87,0.05
6237,驊訊,0,1.5,0.9,1.1657
6238,勝麗,28.96,2.08,3.91,1.4791
6240,松崗,0,0,0.91,0.6431
6241,易通展,552.5,0,1.68,0.3769
6242,立康,14.34,5.26,1.73,0.4892
6244,茂迪,0,0,1.04,1.1155
6245,立端,13.33,5.03,2.07,1.4673
6246,臺龍,0,0,0.71,0.7436
6247,淇譽電,0,0,0.94,0.1203
6248,沛波,9.74,7.82,2.07,0.5226
6259,百徽,3.25,0,1.13,0.2354
6261,久元,18.75,5.11,1.3,0.9543
6263,普萊德,12.88,7.13,2.8,0.5393
6264,富裔,0,0,0.65,0.3161
6265,方土昶,21.85,0,0.51,0.9278
6266,泰詠,12.16,7.38,1.35,1.0738
6270,倍微,16.19,8.28,0.84,0.3846
6274,台燿,21.68,3.13,3.71,1.3414
6275,元山,22.4,0,1.21,1.322
6276,安鈦克,20.76,3.67,1.63,1.2061
6279,胡連,14.94,5.6,1.61,1.1109
6284,佳邦,23.73,1.57,0.95,1.7152
6287,元隆,0,0,4.34,0.8652
6290,良維,10.41,2.26,2.24,1.6099
6291,沛亨,0,0,3.56,0.0918
6292,迅德,20.11,9.67,1.8,0.7426
6294,智基,11.39,7.88,4.18,0.4163
6404,通訊-KY,0,0,1.23,0.274
6411,晶焱,13.83,5.45,2.76,1.2199
6417,韋僑,22.56,1.89,2.57,0.3766
6418,詠昇,73.06,3.8,0.92,0.7739
6419,京晨科,0,0,0.8,1.0229
6425,易發,0,1.94,1.04,0.9712
6426,統新,53.24,1.35,4.32,1.9854
6432,今展科,12.33,4.47,1.27,1.366
6435,大中,15.34,4.55,3.56,1.5366
6438,迅得,53.42,2.4,2.18,1.4469
6441,廣錠,1167.5,0.54,4.15,1.3814
6446,藥華藥,0,0,11.43,1.2986
6457,紘康,45.83,2.09,5.18,0.7722
6461,益得,0,0,1.11,0.7712
6462,神盾,14.33,4.65,4.39,1.5328
6465,威潤,927.5,0,3.46,0.1233
6469,大樹,25.14,3.43,2.94,0.6713
6470,宇智,12.1,6.11,2.01,0.9334
6472,保瑞,19.75,3.21,3.71,1.1081
6482,弘煜科,0,0,1.8,0.7129
6485,點序,20.1,1.74,1.17,1.0175
